Device,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
Mobile,540,170,33743,13968,1.6%,1.22%,19.02,20.72
Desktop,460,196,61343,32717,0.75%,0.6%,16.39,26.58
Tablet,42,4,679,355,6.19%,1.13%,9.2,9
