Device,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
Mobile,199,232,14714,10834,1.35%,2.14%,21.64,18.17
Desktop,142,190,20706,19066,0.69%,1%,20.58,14.86
Tablet,16,15,237,291,6.75%,5.15%,8.22,10.5
